Temperature_K,Pressure_atm,Equivalence_Ratio,Ignition_Delay_s
1.45,0.8,1.1,4.845916168979778e-05
1.45,0.8,1.2,3.9236508773405616e-05
1.45,0.9,0.8,6.297819807835568e-05
1.45,0.9,0.9,0.00017186182472199907
1.45,0.9,1.0,4.556596607985914e-05
1.45,0.9,1.1,3.639819581127159e-05
1.45,0.9,1.2,3.2249139507113106e-05
1.45,1.0,0.8,4.38600314647748e-05
1.45,1.0,0.9,4.950641626975661e-05
1.45,1.0,1.0,3.8200858729087086e-05
1.45,1.0,1.1,3.0498401648592618e-05
1.45,1.0,1.2,2.829302980130141e-05
1.45,1.1,0.8,3.336650780569986e-05
1.45,1.1,0.9,3.7838972958547855e-05
1.45,1.1,1.0,3.0449935654808778e-05
1.45,1.1,1.1,2.648889192255191e-05
1.45,1.1,1.2,2.4174035219887695e-05
1.45,1.2,0.8,2.9118161856994107e-05
1.45,1.2,0.9,2.873503456122595e-05
1.45,1.2,1.0,2.5201213087464833e-05
1.45,1.2,1.1,2.223527625475123e-05
1.45,1.2,1.2,2.1470778189805983e-05
1.475,0.8,0.8,0.00033288137379020564
1.475,0.8,0.9,0.00022753303457089606
1.475,0.8,1.0,0.0006558939641839595
1.475,0.8,1.1,4.827703778715047e-05
1.475,0.8,1.2,3.969711216839937e-05
1.475,0.9,0.8,0.0004554694693619057
1.475,0.9,0.9,0.00018624498005725257
1.475,0.9,1.0,5.057600782986687e-05
1.475,0.9,1.1,3.800341838225266e-05
1.475,0.9,1.2,3.3533586291634117e-05
1.475,1.0,0.8,4.7902030026947864e-05
1.475,1.0,0.9,0.00015136563158784437
1.475,1.0,1.0,3.9710123027545695e-05
1.475,1.0,1.1,3.127913969144026e-05
1.475,1.0,1.2,2.750258198666431e-05
1.475,1.1,0.8,3.490190498357261e-05
1.475,1.1,0.9,3.8260939416523795e-05
1.475,1.1,1.0,3.0857809549572655e-05
1.475,1.1,1.1,2.507095000379654e-05
1.475,1.1,1.2,2.279605679498854e-05
1.475,1.2,0.8,2.9722788024627036e-05
1.475,1.2,0.9,3.020084482482287e-05
1.475,1.2,1.0,2.429454439140729e-05
1.475,1.2,1.1,2.1297202290776553e-05
1.475,1.2,1.2,2.03814528116833e-05
1.5,0.8,0.8,0.0005401623778647466
1.5,0.8,0.9,0.0004890385863441206
1.5,0.8,1.0,0.00024882206807977017
1.5,0.8,1.1,4.8482762918131347e-05
1.5,0.8,1.2,4.053937611593929e-05
1.5,0.9,0.8,0.00034476574097647313
1.5,0.9,0.9,0.00023933138232858428
1.5,0.9,1.0,8.28395914660805e-05
1.5,0.9,1.1,3.821679631649801e-05
1.5,0.9,1.2,3.200027143866078e-05
1.5,1.0,0.8,7.168342349519784e-05
1.5,1.0,0.9,0.0004154695381418397
1.5,1.0,1.0,4.099126527098934e-05
1.5,1.0,1.1,2.956891825108904e-05
1.5,1.0,1.2,2.6204358976118083e-05
1.5,1.1,0.8,3.686162732647963e-05
1.5,1.1,0.9,4.851062085728717e-05
1.5,1.1,1.0,3.282966770252761e-05
1.5,1.1,1.1,2.51812467037166e-05
1.5,1.1,1.2,2.3493413453968592e-05
1.5,1.2,0.8,3.025514707988191e-05
1.5,1.2,0.9,3.0379975822132854e-05
1.5,1.2,1.0,2.515672522327091e-05
1.5,1.2,1.1,2.255427442435083e-05
1.5,1.2,1.2,2.004350771176729e-05
