Temperature_K,Pressure_atm,Equivalence_Ratio,Ignition_Delay_s
1.45,0.9,0.9,6.027112064624779e-05
1.45,0.9,1.0,5.080154394240056e-05
1.45,0.9,1.1,4.755702474799537e-05
1.45,0.9,1.2,4.45506384423669e-05
1.45,1.0,0.8,5.134947471463941e-05
1.45,1.0,0.9,4.516180081274744e-05
1.45,1.0,1.0,4.454921942803154e-05
1.45,1.0,1.1,3.968469938793096e-05
1.45,1.0,1.2,3.770286047088801e-05
1.45,1.1,0.8,4.1238967741557964e-05
1.45,1.1,0.9,3.9960177999911784e-05
1.45,1.1,1.0,3.864156597310444e-05
1.45,1.1,1.1,3.570930363250891e-05
1.45,1.1,1.2,3.275125421440852e-05
1.45,1.2,0.8,3.543062634858989e-05
1.45,1.2,0.9,3.4714202057321836e-05
1.45,1.2,1.0,3.362964440259928e-05
1.45,1.2,1.1,3.0311539462893405e-05
1.45,1.2,1.2,2.8424051691067307e-05
1.475,0.8,0.8,7.562876393386663e-05
1.475,0.8,0.9,7.012195831597742e-05
1.475,0.8,1.0,6.472642305509569e-05
1.475,0.8,1.1,5.939870188113156e-05
1.475,0.8,1.2,5.518976453169325e-05
1.475,0.9,0.8,5.927527874447649e-05
1.475,0.9,0.9,5.728284945826645e-05
1.475,0.9,1.0,5.181556217510064e-05
1.475,0.9,1.1,4.898464620514237e-05
1.475,0.9,1.2,4.3542420203031724e-05
1.475,1.0,0.8,5.1565801562535624e-05
1.475,1.0,0.9,4.687527299692952e-05
1.475,1.0,1.0,4.237387100464399e-05
1.475,1.0,1.1,4.104985526027968e-05
1.475,1.0,1.2,3.818076258081174e-05
1.475,1.1,0.8,4.480512256582112e-05
1.475,1.1,0.9,3.9268580282605086e-05
1.475,1.1,1.0,3.8716802663030354e-05
1.475,1.1,1.1,3.47374431648201e-05
1.475,1.1,1.2,3.109512383200289e-05
1.475,1.2,0.8,3.56228811817607e-05
1.475,1.2,0.9,3.4022197759952213e-05
1.475,1.2,1.0,3.338165564933988e-05
1.475,1.2,1.1,3.006612338437852e-05
1.475,1.2,1.2,2.7921383426675402e-05
1.5,0.8,0.8,7.366261010863949e-05
1.5,0.8,0.9,7.175979124049431e-05
1.5,0.8,1.0,6.389373727380183e-05
1.5,0.8,1.1,5.59135868392158e-05
1.5,0.8,1.2,5.336316349678594e-05
1.5,0.9,0.8,6.403127708742077e-05
1.5,0.9,0.9,5.465636395551675e-05
1.5,0.9,1.0,5.253429050154192e-05
1.5,0.9,1.1,4.577655354893126e-05
1.5,0.9,1.2,4.4988720939497015e-05
1.5,1.0,0.8,4.8272270602324614e-05
1.5,1.0,0.9,4.806300480043383e-05
1.5,1.0,1.0,4.424596354588728e-05
1.5,1.0,1.1,4.000922463935634e-05
1.5,1.0,1.2,3.8580689985477445e-05
1.5,1.1,0.8,4.1571482767472346e-05
1.5,1.1,0.9,4.1045927130619006e-05
1.5,1.1,1.0,3.720125191065771e-05
1.5,1.1,1.1,3.47042211662965e-05
1.5,1.1,1.2,3.1178777531259875e-05
1.5,1.2,0.8,3.680490835104205e-05
1.5,1.2,0.9,3.405403331217034e-05
1.5,1.2,1.0,3.363532146115187e-05
1.5,1.2,1.1,2.8408713399388205e-05
1.5,1.2,1.2,2.798390872054136e-05
